"","mean","SD","N","device","agecat","Test"
"67",18.5,1.26929551764398,10,"iPhone","51-65","delayed_recall_correct"
"68",16.3846153846154,1.26085034391223,13,"iPhone","66-120","delayed_recall_correct"
"69",154.649458078238,138.018207207359,13,"iPad","10-13","balance_mean_distance_from_center"
"70",52.2853661937826,57.0854299497,169,"iPad","14-18","balance_mean_distance_from_center"
"71",61.0170999571335,54.5899878570508,86,"iPad","19-35","balance_mean_distance_from_center"
"72",91.3283206939697,55.4983632434264,10,"iPad","36-50","balance_mean_distance_from_center"
"73",131.922303771973,101.538883738389,15,"iPad","51-65","balance_mean_distance_from_center"
"74",160.215005000432,85.9990649482481,24,"iPad","66-120","balance_mean_distance_from_center"
"75",91.8465194702148,NA,1,"iPhone","14-18","balance_mean_distance_from_center"
"76",69.9401781935441,82.8356152663452,38,"iPhone","19-35","balance_mean_distance_from_center"
"77",68.4429815411568,74.3795042636056,16,"iPhone","36-50","balance_mean_distance_from_center"
"78",101.710224914551,74.5707896820333,10,"iPhone","51-65","balance_mean_distance_from_center"
"79",172.768335489126,124.889949853774,13,"iPhone","66-120","balance_mean_distance_from_center"
"80",2.62250707830702,1.13817722892608,7,"browser","10-13","trails_b_duration_mean"
"81",1.86130278218876,0.550687585165247,77,"browser","14-18","trails_b_duration_mean"
"82",1.79061119172765,0.539549758748051,87,"browser","19-35","trails_b_duration_mean"
"83",2.14428616315126,0.763981838724836,16,"browser","36-50","trails_b_duration_mean"
"84",2.49134158726895,1.00710849490985,33,"browser","51-65","trails_b_duration_mean"
"85",2.84651492118835,1.22414820300561,25,"browser","66-120","trails_b_duration_mean"
"86",2.84126363350795,1.05769621911494,13,"iPad","10-13","trails_b_duration_mean"
"87",1.91962051777279,0.569924319995785,170,"iPad","14-18","trails_b_duration_mean"
"88",1.56929026478391,0.448439864721209,120,"iPad","19-35","trails_b_duration_mean"
"89",1.76169487476349,0.733255188639368,25,"iPad","36-50","trails_b_duration_mean"
"90",2.32766683811837,0.799398256616569,47,"iPad","51-65","trails_b_duration_mean"
"91",4.00148725639219,2.94903050505217,92,"iPad","66-120","trails_b_duration_mean"
"92",2.0936119556427,NA,1,"iPhone","14-18","trails_b_duration_mean"
"93",1.49499638111163,0.397392884311175,39,"iPhone","19-35","trails_b_duration_mean"
"94",1.68346400931478,0.473315549300627,16,"iPhone","36-50","trails_b_duration_mean"
"95",2.48251414299011,0.485741755072386,10,"iPhone","51-65","trails_b_duration_mean"
"96",3.61564674744239,2.4584653919066,13,"iPhone","66-120","trails_b_duration_mean"
"97",0.97528076171875,0.288262689108376,7,"browser","10-13","flanker_reaction_time_correct_median"
"98",0.677362119996702,0.297728320559474,77,"browser","14-18","flanker_reaction_time_correct_median"
"99",0.69049212576329,0.267160686917581,87,"browser","19-35","flanker_reaction_time_correct_median"
"100",0.805244445800781,0.192040491123616,16,"browser","36-50","flanker_reaction_time_correct_median"
"101",0.907953435724432,0.386071212201864,33,"browser","51-65","flanker_reaction_time_correct_median"
"102",0.912952880859375,0.303728280088483,25,"browser","66-120","flanker_reaction_time_correct_median"
"103",1.12398118239183,0.404004082634463,13,"iPad","10-13","flanker_reaction_time_correct_median"
"104",0.834775902243222,0.241104697711505,170,"iPad","14-18","flanker_reaction_time_correct_median"
"105",0.794892231159382,0.18678611857595,111,"iPad","19-35","flanker_reaction_time_correct_median"
"106",0.939966837565104,0.299185151345466,18,"iPad","36-50","flanker_reaction_time_correct_median"
"107",1.22656576974051,0.30893963445737,28,"iPad","51-65","flanker_reaction_time_correct_median"
"108",1.6030421022509,0.553200971097352,61,"iPad","66-120","flanker_reaction_time_correct_median"
"109",0.932373046875,NA,1,"iPhone","14-18","flanker_reaction_time_correct_median"
"110",0.760073930789263,0.166917506046382,39,"iPhone","19-35","flanker_reaction_time_correct_median"
"111",0.860371589660645,0.223390498664123,16,"iPhone","36-50","flanker_reaction_time_correct_median"
"112",1.111328125,0.349820244511404,10,"iPhone","51-65","flanker_reaction_time_correct_median"
"113",1.45198763333834,0.435705380908918,13,"iPhone","66-120","flanker_reaction_time_correct_median"
