"","N","device","agecat","Test","remainder"
"98",33,"browser","51-65","trails_b_duration_mean",-3
"99",21,"browser","66-75","trails_b_duration_mean",9
"100",4,"browser","76+","trails_b_duration_mean",26
"101",16,"iPad","10-13","trails_b_duration_mean",14
"102",171,"iPad","14-18","trails_b_duration_mean",-141
"103",119,"iPad","19-35","trails_b_duration_mean",-89
"104",25,"iPad","36-50","trails_b_duration_mean",5
"105",57,"iPad","51-65","trails_b_duration_mean",-27
"106",60,"iPad","66-75","trails_b_duration_mean",-30
"107",25,"iPad","76+","trails_b_duration_mean",5
"108",14,"iPhone","14-18","trails_b_duration_mean",16
"109",39,"iPhone","19-35","trails_b_duration_mean",-9
"110",16,"iPhone","36-50","trails_b_duration_mean",14
"111",10,"iPhone","51-65","trails_b_duration_mean",20
"112",7,"iPhone","66-75","trails_b_duration_mean",23
"113",6,"iPhone","76+","trails_b_duration_mean",24
"114",7,"browser","10-13","flanker_reaction_time_correct_median",23
"115",77,"browser","14-18","flanker_reaction_time_correct_median",-47
"116",87,"browser","19-35","flanker_reaction_time_correct_median",-57
"117",16,"browser","36-50","flanker_reaction_time_correct_median",14
"118",33,"browser","51-65","flanker_reaction_time_correct_median",-3
"119",21,"browser","66-75","flanker_reaction_time_correct_median",9
"120",4,"browser","76+","flanker_reaction_time_correct_median",26
"121",16,"iPad","10-13","flanker_reaction_time_correct_median",14
"122",171,"iPad","14-18","flanker_reaction_time_correct_median",-141
"123",110,"iPad","19-35","flanker_reaction_time_correct_median",-80
"124",18,"iPad","36-50","flanker_reaction_time_correct_median",12
"125",38,"iPad","51-65","flanker_reaction_time_correct_median",-8
"126",37,"iPad","66-75","flanker_reaction_time_correct_median",-7
"127",17,"iPad","76+","flanker_reaction_time_correct_median",13
"128",14,"iPhone","14-18","flanker_reaction_time_correct_median",16
"129",39,"iPhone","19-35","flanker_reaction_time_correct_median",-9
"130",16,"iPhone","36-50","flanker_reaction_time_correct_median",14
"131",10,"iPhone","51-65","flanker_reaction_time_correct_median",20
"132",7,"iPhone","66-75","flanker_reaction_time_correct_median",23
"133",6,"iPhone","76+","flanker_reaction_time_correct_median",24
